order_id,customer_id,product_id,quantity,order_date,status
1,316,379,5,2024-12-18,pending
2,503,32,4,2024-10-04,cancelled
3,761,419,2,2024-08-30,pending
4,170,446,1,2024-09-17,completed
5,417,247,5,2024-07-07,pending
6,342,90,2,2025-04-22,cancelled
7,859,484,5,2024-06-17,cancelled
8,321,163,5,2024-09-24,pending
9,17,342,4,2024-10-06,pending
10,743,414,1,2024-08-31,shipped
11,28,493,3,2024-08-17,pending
12,289,422,5,2024-10-07,completed
13,178,184,2,2024-07-01,pending
14,701,88,5,2024-12-12,shipped
15,63,330,3,2025-04-16,pending
16,924,424,1,2025-02-26,shipped
17,954,471,2,2024-06-15,cancelled
18,533,397,3,2024-10-27,completed
19,438,65,2,2025-04-11,cancelled
20,961,471,5,2025-04-07,shipped
21,666,58,3,2025-03-20,cancelled
22,815,178,3,2025-05-16,cancelled
23,599,16,3,2024-09-22,cancelled
24,497,268,1,2024-08-24,cancelled
25,410,28,2,2025-05-11,shipped
26,297,366,3,2025-02-05,shipped
27,615,167,2,2024-07-08,shipped
28,452,478,3,2024-07-23,shipped
29,988,255,2,2024-09-25,cancelled
30,245,108,3,2024-07-28,shipped
31,257,287,4,2025-03-06,completed
32,228,71,5,2025-04-22,cancelled
33,24,464,3,2024-07-22,cancelled
34,438,416,2,2024-09-04,completed
35,126,58,3,2024-11-15,completed
36,622,427,1,2025-03-16,pending
37,699,342,3,2024-08-02,cancelled
38,831,189,3,2024-07-23,completed
39,508,379,4,2025-06-05,shipped
40,259,426,1,2025-01-17,shipped
41,2,86,4,2024-06-28,pending
42,410,141,5,2024-06-15,pending
43,647,223,2,2025-05-14,pending
44,122,447,2,2025-06-09,cancelled
45,173,495,1,2024-08-03,completed
46,417,284,5,2025-06-04,completed
47,594,180,4,2024-10-05,cancelled
48,643,324,1,2024-09-02,cancelled
49,16,22,3,2024-07-25,pending
50,889,114,1,2025-05-02,pending
51,565,213,4,2024-12-07,completed
52,763,456,2,2024-07-27,shipped
53,982,109,4,2024-08-03,shipped
54,910,486,5,2025-04-18,pending
55,849,234,5,2024-12-17,pending
56,892,63,3,2025-03-29,completed
57,923,268,4,2024-09-05,shipped
58,29,207,2,2025-04-26,completed
59,308,460,1,2024-10-23,pending
60,738,225,1,2024-11-02,shipped
61,541,245,3,2024-09-21,cancelled
62,512,138,5,2025-03-28,completed
63,201,428,3,2025-03-30,cancelled
64,188,410,1,2025-01-23,completed
65,424,158,3,2024-09-04,completed
66,928,340,5,2024-08-27,shipped
67,576,195,3,2024-10-18,shipped
68,913,105,1,2025-04-25,completed
69,968,43,2,2024-12-19,shipped
